"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","rp_3_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"10595","Big Bay de Noc Black Bears","3498","9.4","1384","1376","3.1","4.1","2.2","0.14","-0.18","-0.08","N/A","N/A","N/A","6-18-0","0.250"
"9682","(un)Kn0wledgeables","3506","9.3","1383","1375","3.3","5.5","0.6","0.05","-0.05","-0.06","N/A","N/A","N/A","11-13-0","0.458"
"7598","SCA Constellations","3538","8.8","1378","1372","2.5","4","2.2","-0.13","-0.16","0.04","N/A","N/A","N/A","11-20-0","0.355"
"7221","Viking Robotics","3553","8.4","1375","1369","3.9","1.6","2.9","-0.01","-0.18","0.18","N/A","N/A","N/A","9-15-0","0.375"
"6005","Cardinaltronics","3556","8.3","1373","1368","3.8","3.3","1.2","0.28","-0.18","0.08","N/A","N/A","N/A","13-13-0","0.500"
"9753","Team Success","3574","7.9","1370","1366","2","4.7","1.2","0.06","-0.12","-0.05","N/A","N/A","N/A","5-19-0","0.208"
"7203","21st Century Cyber Bearcats","3580","7.8","1369","1365","1.5","4.5","1.9","-0.03","-0.14","0.15","N/A","N/A","N/A","7-17-0","0.292"
"7658","MagiTech","3582","7.8","1368","1365","3","2.2","2.6","0.04","-0.17","0.03","N/A","N/A","N/A","5-19-0","0.208"
"2048","The Pink Panthers","3602","7.2","1362","1361","4.4","1.9","0.9","0.26","-0.1","0.08","N/A","N/A","N/A","11-13-0","0.458"
"7855","Chronic Robophobia","3604","7.2","1362","1361","2.3","4.7","0.2","0.09","-0.16","-0.09","N/A","N/A","N/A","6-18-0","0.250"
"7191","Gator Nation Innovators","3621","6.8","1358","1358","0.1","5.9","0.7","-0.21","-0.16","0.04","N/A","N/A","N/A","10-14-0","0.417"
"2604","Metal and Soul","3625","6.6","1357","1357","3.3","3.8","-0.6","0.2","-0.12","-0.26","N/A","N/A","N/A","6-18-0","0.250"
"6096","UPSM Cobrots","3639","6.4","1355","1356","3.3","2.1","1","0.15","-0.16","-0.13","N/A","N/A","N/A","2-20-2","0.125"
"7155","The Robotic Rangers","3640","6.4","1354","1356","3.5","1.5","1.4","0.12","-0.16","0.01","N/A","N/A","N/A","6-18-0","0.250"
"2591","RedTails","3645","6.1","1351","1354","2.8","1.3","2","0.04","-0.16","0.08","N/A","N/A","N/A","7-17-0","0.292"
"6556","Spartan Robotics","3647","6.1","1351","1354","0.1","6.7","-0.7","-0.02","-0.12","-0.17","N/A","N/A","N/A","6-18-0","0.250"
"6567","The Broken Drill Bits","3668","4.3","1332","1341","1.8","0.9","1.7","-0.04","-0.17","0.1","N/A","N/A","N/A","9-15-0","0.375"
